Date : 2023-04-15 19:01:01
Directory : d:\PlantLink
Total : 58 files,  32180 codes, 586 comments, 2061 blanks, all 34827 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     12,765 |          3 |          3 |     12,771 |
| CSS        |         16 |     12,643 |        110 |      1,460 |     14,213 |
| SVG        |          4 |      2,773 |          0 |          1 |      2,774 |
| HTML       |          7 |      2,115 |        296 |        373 |      2,784 |
| SCSS       |          5 |      1,447 |         38 |        127 |      1,612 |
| JavaScript |         21 |        422 |        139 |         90 |        651 |
| Markdown   |          1 |         15 |          0 |          7 |         22 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                   |         58 |     32,180 |        586 |      2,061 |     34,827 |
| . (Files)                                                           |          5 |     12,780 |          3 |         10 |     12,793 |
